date, modeltype, features, dataset, thetime, cv_score, macro_prec, macro_recall, macro_f1, params, ,
precision_micro2019-08-17_14_59_20, RandomForestClassifier, feats_topo_code, ,19,0.154,0.188,0.183,0.179, max_depth-16_n_estimators-500_, ,
f1_macro2019-09-15_02_56_09, mlp2, tfidf and topo feats, ,20,0.329,0.176,0.199,0.178, d1-96_d2-20_d3-15_num_classes-24_, ,
f1_macro2019-09-16_15_54_51, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,2,0.179,0.196,0.181,0.178, max_depth-150_n_estimators-16_, ,
f1_micro2019-08-17_14_59_20, RandomForestClassifier, feats_topo_code, ,19,0.155,0.191,0.184,0.178, max_depth-16_n_estimators-500_, ,
f1_macro2019-08-21_00_13_45, RandomForestClassifier, code_feats, ,5,0.255,0.152,0.227,0.177, max_depth-8_n_estimators-100_, ,
f1_macro2019-09-16_05_59_50, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,1,0.168,0.212,0.189,0.177, clf__max_depth-8_clf__n_estimators-4_, ,
recall_macro2019-08-17_14_59_20, RandomForestClassifier, feats_topo_code, ,18,0.154,0.185,0.185,0.177, max_depth-16_n_estimators-500_, ,
f1_macro2019-09-15_14_22_42, XGBClassifier, x_topo_feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,15,0.152,0.212,0.184,0.177, booster-gbtree_max_depth-8_, ,
f1_macro2019-09-15_09_35_36, XGBClassifier, x_topo_feats, ,13,0.152,0.212,0.184,0.177, booster-gbtree_max_depth-8_, ,
f1_macro2019-09-16_11_23_34, XGBClassifier, x_topo_feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,14,0.152,0.212,0.184,0.177, booster-gbtree_max_depth-8_, ,
f1_micro2019-09-08_19_09_47, LogisticRegression, tfidf and topo feats, ,97,0.373,0.243,0.187,0.176, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_, ,
f1_micro2019-09-08_19_09_52, LogisticRegression, tfidf and topo feats, ,97,0.373,0.243,0.187,0.176, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_, ,
f1_micro2019-09-08_19_23_25, LogisticRegression, tfidf and topo feats, ,77,0.373,0.243,0.187,0.176, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_, ,
f1_micro2019-09-08_19_23_30, LogisticRegression, tfidf and topo feats, ,77,0.373,0.243,0.187,0.176, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_, ,
f1_macro2019-09-16_13_56_24, LogisticRegression, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,34,0.175,0.195,0.194,0.176, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_, ,
f1_macro2019-09-16_13_09_15, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,1,0.168,0.18,0.179,0.175, max_depth-150_n_estimators-16_, ,
f1_macro2019-09-15_09_21_06, RandomForestClassifier, x_topo_feats, ,1,0.165,0.178,0.175,0.173, max_depth-150_n_estimators-16_, ,
f1_macro2019-09-15_03_28_25, RandomForestClassifier, x_topo_feats, ,1,0.162,0.182,0.177,0.173, max_depth-150_n_estimators-16_, ,
f1_macro2019-09-15_03_28_17, RandomForestClassifier, x_topo_feats, ,2,0.164,0.177,0.175,0.172, max_depth-150_n_estimators-16_, ,
f1_macro2019-09-16_07_09_56, XGBClassifier, x_topo_feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,49,0.163,0.176,0.174,0.171, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-16_13_59_08, XGBClassifier, x_topo_feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,49,0.163,0.176,0.174,0.171, booster-gbtree_max_depth-150_, ,
f1_macro2019-08-17_14_59_20, RandomForestClassifier, feats_topo_code, ,19,0.145,0.173,0.181,0.171, max_depth-16_n_estimators-500_, ,
f1_macro2019-09-16_13_58_17, mlp2, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,110,0.395,0.176,0.185,0.166, d1-17_d2-20_d3-15_num_classes-10_, ,
f1_macro2019-09-15_14_09_03, mlp2, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,70,0.395,0.178,0.185,0.164, d1-17_d2-20_d3-15_num_classes-10_, ,
recall_macro2019-08-17_14_18_23, XGBClassifierlinear, code_feats, ,18,0.175,0.203,0.173,0.163, lambda-0_, ,
recall_micro2019-08-17_14_18_23, XGBClassifierlinear, code_feats, ,17,0.174,0.203,0.173,0.163, lambda-0_, ,
precision_micro2019-08-17_14_18_23, XGBClassifierlinear, code_feats, ,17,0.174,0.203,0.173,0.163, lambda-0_, ,
f1_micro2019-08-17_14_18_23, XGBClassifierlinear, code_feats, ,16,0.174,0.203,0.173,0.163, lambda-0_, ,
precision_macro2019-08-17_14_18_23, XGBClassifierlinear, code_feats, ,19,0.171,0.203,0.173,0.163, lambda-0_, ,
f1_macro2019-08-17_14_18_23, XGBClassifierlinear, code_feats, ,16,0.16,0.203,0.173,0.163, lambda-0_, ,
f1_macro2019-09-16_04_20_41, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,1,0.156,0.166,0.164,0.163, max_depth-150_n_estimators-4_, ,
f1_macro2019-08-21_00_13_45, DecisionTreeClassifier, code_feats, ,0,0.151,0.149,0.21,0.163, max_depth-4_, ,
f1_macro2019-09-15_03_01_59, RandomForestClassifier, x_topo_feats, ,1,0.151,0.163,0.162,0.159, max_depth-150_n_estimators-4_, ,
f1_macro2019-08-17_14_59_20, XGBClassifier, feats_topo_code, ,354,0.135,0.17,0.163,0.159, booster-dart_max_depth-16_, ,
f1_macro2019-09-12_21_32_54, mlp1, tfidf and code feats, ,7,0.279,0.16,0.177,0.157, d1-93_d2-30_num_classes-24_, ,
f1_macro2019-09-16_22_44_05, mlp4, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,335,0.326,0.141,0.187,0.156, d1-96_d2-10_d3-10_d4-5_d5-5_num_classes-24_, ,
f1_macro2019-09-16_11_15_22, XGBClassifier, tfidf and topo feats, ./tmp/symbols_dataset_2_precomp_split_undersample_max_half/,2133,0.148,0.231,0.137,0.155, clf__booster-gbtree_clf__max_depth-8_, ,
f1_macro2019-09-16_18_50_44, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,1,0.143,0.174,0.156,0.154, max_depth-150_n_estimators-4_, ,
f1_macro2019-09-16_03_20_32, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_2_precomp_split_undersample_max_half/,11,0.156,0.194,0.143,0.153, clf__max_depth-150_clf__n_estimators-16_, ,
recall_macro2019-08-17_14_59_20, XGBClassifierlinear, feats_topo_code, ,37,0.144,0.154,0.161,0.153, lambda-0_, ,
recall_micro2019-08-17_14_59_20, XGBClassifierlinear, feats_topo_code, ,39,0.144,0.154,0.161,0.153, lambda-0_, ,
precision_micro2019-08-17_14_59_20, XGBClassifierlinear, feats_topo_code, ,39,0.144,0.154,0.161,0.153, lambda-0_, ,
f1_micro2019-08-17_14_59_20, XGBClassifierlinear, feats_topo_code, ,38,0.144,0.154,0.161,0.153, lambda-0_, ,
precision_macro2019-08-17_14_59_20, XGBClassifierlinear, feats_topo_code, ,37,0.141,0.154,0.161,0.153, lambda-0_, ,
f1_macro2019-08-17_14_59_20, XGBClassifierlinear, feats_topo_code, ,38,0.138,0.154,0.161,0.153, lambda-0_, ,
macroF1_2019-09-17_10_16_18, 3_GGNN1, graph, ./tmp/symbols_dataset_1_precomp_split_undersample_max/,2898,0.082,0.187,0.17,0.153, aggr_type-mean_d1-30_d2-10_num_classes-10_num_layers-2_batch_size-16_learning_rate-0.001_, ,
f1_macro2019-09-15_05_41_59, RandomForestClassifier, x_topo_feats, ,1,0.155,0.154,0.155,0.152, max_depth-150_n_estimators-4_, ,
recall_macro2019-08-17_14_59_20, XGBClassifier, feats_topo_code, ,280,0.141,0.16,0.158,0.152, booster-gbtree_max_depth-4_, ,
precision_macro2019-08-17_14_59_20, XGBClassifier, feats_topo_code, ,297,0.14,0.163,0.154,0.152, booster-gbtree_max_depth-8_, ,
recall_micro2019-08-17_14_59_20, XGBClassifier, feats_topo_code, ,292,0.139,0.16,0.158,0.152, booster-gbtree_max_depth-4_, ,
precision_micro2019-08-17_14_59_20, XGBClassifier, feats_topo_code, ,297,0.139,0.16,0.158,0.152, booster-gbtree_max_depth-4_, ,
f1_micro2019-08-17_14_59_20, XGBClassifier, feats_topo_code, ,293,0.139,0.16,0.158,0.152, booster-gbtree_max_depth-4_, ,
f1_macro2019-09-16_22_31_57, mlp3, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,303,0.313,0.184,0.176,0.151, d1-96_d2-10_d3-10_d4-5_num_classes-24_, ,
f1_macro2019-09-15_02_47_01, XGBClassifier, tfidf and topo feats, ,2797,0.154,0.188,0.143,0.151, clf__booster-gbtree_clf__max_depth-150_, ,
f1_macro2019-09-15_04_51_01, XGBClassifier, tfidf and topo feats, ,2790,0.154,0.188,0.143,0.151, clf__booster-gbtree_clf__max_depth-150_, ,
f1_macro2019-09-15_19_49_25, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,2,0.146,0.184,0.167,0.149, max_depth-8_n_estimators-16_, ,
f1_macro2019-09-16_08_58_06, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,1,0.136,0.202,0.161,0.149, max_depth-8_n_estimators-4_, ,
f1_macro2019-08-21_00_13_45, LogisticRegression, code_feats, ,1,0.129,0.129,0.196,0.148, C-1_max_iter-200_multi_class-ovr_penalty-l2_solver-newton-cg_, ,
f1_macro2019-09-15_16_50_35, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,1,0.155,0.166,0.164,0.147, max_depth-8_n_estimators-16_, ,
f1_macro2019-09-16_09_46_29, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,1,0.138,0.169,0.162,0.147, max_depth-8_n_estimators-4_, ,
f1_macro2019-09-15_15_59_56, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,1,0.136,0.154,0.153,0.146, max_depth-150_n_estimators-4_, ,
f1_macro2019-09-12_19_29_48, XGBClassifier, x_topo_feats, ,17,0.134,0.324,0.167,0.145, lambda-0.1_, ,
f1_macro2019-09-12_00_43_37, XGBClassifier, x_topo_feats, ,19,0.134,0.324,0.167,0.145, lambda-0.1_, ,
f1_macro2019-09-16_21_56_42, mlp4, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,107,0.28,0.152,0.171,0.144, d1-96_d2-10_d3-10_d4-5_d5-5_num_classes-24_, ,
f1_macro2019-09-15_23_54_15, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,1,0.136,0.165,0.159,0.143, max_depth-8_n_estimators-16_, ,
f1_macro2019-09-16_06_00_02, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,1,0.133,0.165,0.165,0.142, max_depth-8_n_estimators-16_, ,
f1_macro2019-09-15_16_05_00, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,1,0.14,0.221,0.163,0.141, max_depth-8_n_estimators-16_, ,
f1_macro2019-09-16_21_12_04, mlp4, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,187,0.291,0.131,0.167,0.14, d1-96_d2-10_d3-10_d4-5_d5-5_num_classes-24_, ,
f1_macro2019-09-12_00_42_49, mlp1, tfidf and code feats, ,6,0.262,0.156,0.164,0.14, d1-93_d2-10_num_classes-24_, ,
f1_micro2019-08-21_00_34_40, XGBClassifier, x_topo_feats, ,761,0.512,0.343,0.146,0.139, booster-gbtree_max_depth-8_, ,
f1_micro2019-08-21_19_37_19, XGBClassifier, x_topo_feats, ,753,0.512,0.343,0.146,0.139, booster-gbtree_max_depth-8_, ,
f1_macro2019-09-15_03_29_45, mlp2, topo and code feats, ,18,0.388,0.117,0.172,0.139, d1-17_d2-20_d3-15_num_classes-10_, ,
f1_macro2019-09-15_11_16_53, RandomForestClassifier, x_topo_feats, ,1,0.138,0.182,0.16,0.138, max_depth-8_n_estimators-16_, ,
f1_macro2019-09-15_09_22_22, mlp2, topo and code feats, ,16,0.387,0.115,0.17,0.136, d1-17_d2-20_d3-15_num_classes-10_, ,
f1_macro2019-08-21_00_13_45, XGBClassifier, code_feats, ,6,0.266,0.124,0.174,0.136, booster-gbtree_max_depth-2_, ,
f1_macro2019-09-15_11_12_03, RandomForestClassifier, topo and code feats, ,1,0.127,0.142,0.143,0.135, max_depth-150_n_estimators-4_, ,
f1_micro2019-08-21_00_34_39, RandomForestClassifier, x_topo_feats, ,123,0.514,0.195,0.144,0.134, max_depth-16_n_estimators-500_, ,
f1_micro2019-08-21_19_24_46, RandomForestClassifier, x_topo_feats, ,110,0.514,0.186,0.143,0.132, max_depth-16_n_estimators-500_, ,
f1_micro2019-08-22_00_16_42, RandomForestClassifier, x_topo_feats, ,124,0.513,0.176,0.144,0.132, max_depth-16_n_estimators-500_, ,
f1_macro2019-09-15_16_00_54, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,1,0.132,0.146,0.146,0.131, max_depth-8_n_estimators-4_, ,
f1_macro2019-09-15_11_12_58, RandomForestClassifier, topo and code feats, ,1,0.139,0.151,0.144,0.13, max_depth-8_n_estimators-4_, ,
f1_macro2019-09-16_12_14_33, XGBClassifier, tfidf and topo feats, ./tmp/symbols_dataset_2_precomp_split_undersample_max_third/,1093,0.128,0.183,0.116,0.13, clf__booster-gbtree_clf__max_depth-8_, ,
f1_macro2019-09-12_00_31_33, mlp1, tfidf and code feats, ,8,0.254,0.15,0.156,0.129, d1-93_d2-10_num_classes-24_, ,
f1_macro2019-09-15_14_18_34, mlp2, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,437,0.228,0.149,0.147,0.129, d1-17_d2-20_d3-15_num_classes-24_, ,
f1_macro2019-08-20_23_47_25, XGBClassifierlinear, x_topo_feats, ,1,0.193,0.117,0.153,0.129, lambda-0_, ,
f1_macro2019-09-15_14_45_17, XGBClassifier, tfidf and topo feats, ./tmp/symbols_dataset_2_precomp_split_undersample_max_third/,1351,0.133,0.159,0.117,0.125, clf__booster-gbtree_clf__max_depth-150_, ,
f1_macro2019-09-15_09_58_01, XGBClassifier, tfidf and topo feats, ,1339,0.133,0.159,0.117,0.125, clf__booster-gbtree_clf__max_depth-150_, ,
f1_macro2019-09-16_17_11_03, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,1,0.125,0.135,0.136,0.125, max_depth-8_n_estimators-4_, ,
f1_macro2019-09-15_09_31_42, mlp2, topo and code feats, ,106,0.218,0.139,0.142,0.121, d1-17_d2-20_d3-15_num_classes-24_, ,
f1_micro2019-08-21_00_34_39, DecisionTreeClassifier, x_topo_feats, ,0,0.497,0.144,0.133,0.12, max_depth-4_, ,
f1_micro2019-08-21_19_22_56, DecisionTreeClassifier, x_topo_feats, ,0,0.497,0.144,0.133,0.12, max_depth-4_, ,
f1_micro2019-08-22_00_14_38, DecisionTreeClassifier, x_topo_feats, ,0,0.497,0.144,0.133,0.12, max_depth-4_, ,
f1_macro2019-09-12_00_26_37, mlp1, tfidf and code feats, ,7,0.25,0.113,0.148,0.12, d1-93_d2-10_num_classes-24_, ,
f1_macro2019-09-16_02_47_14, LogisticRegression, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,23,0.119,0.102,0.15,0.12, C-1_max_iter-100_multi_class-ovr_penalty-l2_solver-newton-cg_, ,
f1_macro2019-09-16_06_55_18, LogisticRegression, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,15,0.118,0.103,0.152,0.12, C-1_max_iter-100_multi_class-ovr_penalty-l2_solver-newton-cg_, ,
f1_macro2019-09-16_04_18_46, mlp2, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,266,0.22,0.142,0.141,0.117, d1-17_d2-20_d3-15_num_classes-24_, ,
f1_micro2019-08-21_00_34_40, XGBClassifierlinear, x_topo_feats, ,62,0.509,0.251,0.13,0.115, lambda-0_, ,
f1_micro2019-08-21_19_38_36, XGBClassifierlinear, x_topo_feats, ,76,0.509,0.251,0.13,0.115, lambda-0_, ,
f1_macro2019-09-15_03_28_21, RandomForestClassifier, x_topo_feats, ,1,0.107,0.126,0.121,0.115, max_depth-150_n_estimators-16_, ,
f1_macro2019-09-16_13_40_47, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_2_precomp_split_undersample_max_third/,5,0.128,0.143,0.106,0.114, clf__max_depth-150_clf__n_estimators-16_, ,
f1_macro2019-09-16_14_33_31, XGBClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max/,688,0.108,0.112,0.116,0.112, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-15_17_48_17, XGBClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max/,138,0.106,0.115,0.125,0.111, booster-gbtree_max_depth-8_, ,
f1_macro2019-09-15_05_41_52, mlp2, topo and code feats, ,19,0.205,0.13,0.13,0.109, d1-17_d2-20_d3-15_num_classes-24_, ,
f1_macro2019-09-15_03_20_48, XGBClassifier, x_topo_feats, ,254,0.109,0.113,0.112,0.109, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-15_07_12_35, XGBClassifier, x_topo_feats, ,241,0.109,0.113,0.112,0.109, booster-gbtree_max_depth-150_, ,
f1_micro2019-08-22_21_53_17, LogisticRegression, document and code feats, ,91,0.532,0.163,0.127,0.108, clf__C-10_clf__max_iter-20_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[2, 3]_, 
f1_macro2019-08-20_23_47_25, DecisionTreeClassifier, x_topo_feats, ,0,0.136,0.089,0.177,0.108, max_depth-4_, ,
f1_macro2019-09-16_13_40_34, XGBClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,68,0.108,0.106,0.116,0.104, booster-gbtree_max_depth-8_, ,
f1_macro2019-09-16_00_55_05, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_2_precomp_split_undersample_max_half/,3,0.108,0.132,0.106,0.103, clf__max_depth-150_clf__n_estimators-4_, ,
f1_macro2019-09-16_02_13_52, XGBClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,41,0.104,0.115,0.11,0.103, booster-gbtree_max_depth-8_, ,
f1_micro2019-08-22_21_54_50, LogisticRegression, document and topo and code feats, ,90,0.532,0.174,0.121,0.101, clf__C-10_clf__max_iter-20_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[2, 3]_, 
f1_macro2019-09-16_18_50_40, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,2,0.102,0.097,0.104,0.098, max_depth-150_n_estimators-16_, ,
f1_macro2019-09-15_09_21_11, RandomForestClassifier, x_topo_feats, ,1,0.105,0.091,0.107,0.096, max_depth-150_n_estimators-16_, ,
f1_macro2019-09-15_14_07_46, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,1,0.1,0.094,0.104,0.096, max_depth-150_n_estimators-16_, ,
f1_macro2019-09-16_07_04_04, mlp2, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,138,0.197,0.106,0.125,0.095, d1-17_d2-20_d3-15_num_classes-24_, ,
f1_micro2019-09-06_14_56_20, RandomForestClassifier, x_topo_feats, ,3,0.189,0.095,0.117,0.095, max_depth-8_n_estimators-16_, ,
f1_macro2019-09-16_17_12_59, XGBClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,110,0.103,0.104,0.099,0.095, booster-gbtree_max_depth-150_, ,
macroF1_2019-09-17_13_13_22, 3_GGNN1, graph, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,817,0.066,0.136,0.114,0.095, aggr_type-mean_d1-30_d2-20_num_classes-10_num_layers-4_batch_size-16_learning_rate-0.001_, ,
f1_macro2019-09-15_19_49_09, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,1,0.093,0.09,0.103,0.094, max_depth-150_n_estimators-16_, ,
f1_micro2019-09-06_14_59_49, RandomForestClassifier, x_topo_feats, ,1,0.19,0.104,0.116,0.093, max_depth-8_n_estimators-16_, ,
f1_micro2019-09-06_14_52_55, RandomForestClassifier, x_topo_feats, ,1,0.187,0.092,0.112,0.091, max_depth-8_n_estimators-16_, ,
f1_macro2019-09-16_11_23_14, XGBClassifier, topo and code feats, ./tmp/symbols_dataset_2_precomp_split_undersample_max_half/,459,0.086,0.105,0.09,0.091, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-15_23_16_35, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,1,0.089,0.089,0.108,0.087, max_depth-8_n_estimators-16_, ,
f1_macro2019-09-16_13_04_34, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,2,0.092,0.079,0.109,0.086, max_depth-8_n_estimators-16_, ,
f1_macro2019-09-16_09_45_04, XGBClassifier, topo and code feats, ./tmp/symbols_dataset_2_precomp_split_undersample_max_half/,280,0.076,0.128,0.081,0.086, booster-gbtree_max_depth-8_, ,
f1_macro2019-09-16_04_14_17, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,1,0.089,0.09,0.092,0.085, max_depth-150_n_estimators-4_, ,
macroF1_2019-09-18_00_02_16, 3_GGNN1, graph, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,906,0,0.072,0.109,0.085, aggr_type-mean_d1-30_d2-20_num_classes-10_num_layers-1_batch_size-16_learning_rate-0.001_, ,
f1_macro2019-09-16_05_59_58, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,1,0.081,0.08,0.089,0.081, max_depth-150_n_estimators-4_, ,
precision_macro2019-08-17_13_50_44, RandomForestClassifier, x_topo_feats, ,16,0.069,0.098,0.088,0.081, max_depth-8_n_estimators-50_, ,
f1_macro2019-09-16_14_01_53, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,1,0.082,0.076,0.097,0.08, max_depth-8_n_estimators-4_, ,
macroF1_2019-09-17_20_37_45, 3_GGNN1, graph, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,1870,0.064,0.106,0.103,0.08, aggr_type-mean_d1-30_d2-20_num_classes-24_num_layers-2_batch_size-16_learning_rate-0.001_, ,
f1_macro2019-08-17_13_50_44, RandomForestClassifier, x_topo_feats, ,17,0.06,0.089,0.095,0.08, max_depth-8_n_estimators-100_, ,
recall_macro2019-08-17_13_50_44, XGBClassifierlinear, x_topo_feats, ,30,0.058,0.081,0.085,0.08, lambda-0_, ,
recall_micro2019-08-17_13_50_44, XGBClassifierlinear, x_topo_feats, ,32,0.057,0.081,0.085,0.08, lambda-0_, ,
precision_macro2019-08-17_13_50_44, XGBClassifierlinear, x_topo_feats, ,32,0.057,0.081,0.085,0.08, lambda-0_, ,
precision_micro2019-08-17_13_50_44, XGBClassifierlinear, x_topo_feats, ,30,0.057,0.081,0.085,0.08, lambda-0_, ,
f1_micro2019-08-17_13_50_44, XGBClassifierlinear, x_topo_feats, ,34,0.057,0.081,0.085,0.08, lambda-0_, ,
f1_macro2019-08-17_13_50_44, XGBClassifierlinear, x_topo_feats, ,33,0.055,0.081,0.085,0.08, lambda-0_, ,
f1_macro2019-08-20_23_47_25, XGBClassifier, x_topo_feats, ,5,0.187,0.113,0.075,0.079, booster-gbtree_max_depth-8_, ,
f1_macro2019-09-15_01_39_29, RandomForestClassifier, tfidf and topo feats, ,1,0.094,0.101,0.075,0.079, clf__max_depth-150_clf__n_estimators-4_, ,
recall_macro2019-08-17_13_50_44, XGBClassifier, x_topo_feats, ,312,0.062,0.08,0.085,0.079, booster-dart_max_depth-4_, ,
precision_macro2019-08-17_13_50_44, XGBClassifier, x_topo_feats, ,316,0.061,0.08,0.085,0.079, booster-dart_max_depth-4_, ,
recall_micro2019-08-17_13_50_44, XGBClassifier, x_topo_feats, ,316,0.06,0.08,0.085,0.079, booster-dart_max_depth-4_, ,
precision_micro2019-08-17_13_50_44, XGBClassifier, x_topo_feats, ,320,0.06,0.08,0.085,0.079, booster-dart_max_depth-4_, ,
f1_micro2019-08-17_13_50_44, XGBClassifier, x_topo_feats, ,320,0.06,0.08,0.085,0.079, booster-dart_max_depth-4_, ,
f1_macro2019-08-17_13_50_44, XGBClassifier, x_topo_feats, ,317,0.059,0.08,0.085,0.079, booster-dart_max_depth-4_, ,
macroF1_2019-09-16_11_56_17, 3_GGNN1, graph, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,1955,0.039,0.092,0.106,0.078, aggr_type-mean_d1-70_d2-10_num_classes-10_num_layers-2_batch_size-32_learning_rate-0.01_, ,
macroF1_2019-09-17_11_38_53, 3_GGNN1, graph, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,1014,0,0.097,0.107,0.078, aggr_type-mean_d1-30_d2-20_num_classes-10_num_layers-4_batch_size-16_learning_rate-0.001_, ,
f1_macro2019-09-15_04_58_32, mlp2, tfidf and topo feats, ,103,0.343,0.089,0.086,0.077, d1-96_d2-20_d3-15_num_classes-171_, ,
f1_macro2019-09-16_02_46_49, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,1,0.089,0.085,0.092,0.077, max_depth-8_n_estimators-4_, ,
f1_macro2019-09-16_03_03_31, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_2_precomp_split_undersample_max_half/,4,0.078,0.092,0.074,0.077, max_depth-150_n_estimators-16_, ,
macroF1_2019-09-17_09_27_24, 3_GGNN1, graph, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,579,0.061,0.113,0.105,0.076, aggr_type-mean_d1-30_d2-20_num_classes-10_num_layers-4_batch_size-16_learning_rate-0.001_, ,
f1_macro2019-09-16_14_05_37, XGBClassifier, topo and code feats, ./tmp/symbols_dataset_2_precomp_split_undersample_max_third/,222,0.071,0.08,0.074,0.075, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-15_16_04_56, XGBClassifier, topo and code feats, ./tmp/symbols_dataset_2_precomp_split_undersample_max_third/,230,0.071,0.08,0.074,0.075, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-15_11_16_48, XGBClassifier, topo and code feats, ,220,0.071,0.08,0.074,0.075, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-15_03_06_54, mlp2, tfidf and topo feats, ,64,0.335,0.099,0.074,0.074, d1-96_d2-20_d3-15_num_classes-171_, ,
